image_path,label,source_id,split,pair_type
/root/autodl-tmp/qkzhang/cqt_v2/dataset_images_PM_noisy_cqt/lensed/pos_0000.png,1,0,train,positive
/root/autodl-tmp/qkzhang/cqt_v2/dataset_images_PM_noisy_cqt/lensed/pos_0001.png,1,1,train,positive
/root/autodl-tmp/qkzhang/cqt_v2/dataset_images_PM_noisy_cqt/lensed/pos_0002.png,1,2,train,positive
/root/autodl-tmp/qkzhang/cqt_v2/dataset_images_PM_noisy_cqt/lensed/pos_0003.png,1,3,train,positive
/root/autodl-tmp/qkzhang/cqt_v2/dataset_images_PM_noisy_cqt/lensed/pos_0004.png,1,4,train,positive
/root/autodl-tmp/qkzhang/cqt_v2/dataset_images_PM_noisy_cqt/lensed/pos_0005.png,1,5,train,positive
/root/autodl-tmp/qkzhang/cqt_v2/dataset_images_PM_noisy_cqt/lensed/pos_0007.png,1,7,train,positive
/root/autodl-tmp/qkzhang/cqt_v2/dataset_images_PM_noisy_cqt/lensed/pos_0009.png,1,9,train,positive
/root/autodl-tmp/qkzhang/cqt_v2/dataset_images_PM_noisy_cqt/lensed/pos_0010.png,1,10,train,positive
/root/autodl-tmp/qkzhang/cqt_v2/dataset_images_PM_noisy_cqt/lensed/pos_0011.png,1,11,train,positive
/root/autodl-tmp/qkzhang/cqt_v2/dataset_images_PM_noisy_cqt/lensed/pos_0012.png,1,12,train,positive
/root/autodl-tmp/qkzhang/cqt_v2/dataset_images_PM_noisy_cqt/lensed/pos_0013.png,1,13,train,positive
/root/autodl-tmp/qkzhang/cqt_v2/dataset_images_PM_noisy_cqt/lensed/pos_0014.png,1,14,train,positive
/root/autodl-tmp/qkzhang/cqt_v2/dataset_images_PM_noisy_cqt/lensed/pos_0015.png,1,15,train,positive
/root/autodl-tmp/qkzhang/cqt_v2/dataset_images_PM_noisy_cqt/lensed/pos_0016.png,1,16,train,positive
/root/autodl-tmp/qkzhang/cqt_v2/dataset_images_PM_noisy_cqt/lensed/pos_0017.png,1,17,train,positive
/root/autodl-tmp/qkzhang/cqt_v2/dataset_images_PM_noisy_cqt/lensed/pos_0018.png,1,18,train,positive
/root/autodl-tmp/qkzhang/cqt_v2/dataset_images_PM_noisy_cqt/lensed/pos_0019.png,1,19,train,positive
/root/autodl-tmp/qkzhang/cqt_v2/dataset_images_PM_noisy_cqt/lensed/pos_0020.png,1,20,train,positive
/root/autodl-tmp/qkzhang/cqt_v2/dataset_images_PM_noisy_cqt/lensed/pos_0021.png,1,21,train,positive
/root/autodl-tmp/qkzhang/cqt_v2/dataset_images_PM_noisy_cqt/lensed/pos_0022.png,1,22,train,positive
/root/autodl-tmp/qkzhang/cqt_v2/dataset_images_PM_noisy_cqt/lensed/pos_0023.png,1,23,train,positive
/root/autodl-tmp/qkzhang/cqt_v2/dataset_images_PM_noisy_cqt/lensed/pos_0024.png,1,24,train,positive
/root/autodl-tmp/qkzhang/cqt_v2/dataset_images_PM_noisy_cqt/lensed/pos_0025.png,1,25,train,positive
/root/autodl-tmp/qkzhang/cqt_v2/dataset_images_PM_noisy_cqt/lensed/pos_0026.png,1,26,train,positive
/root/autodl-tmp/qkzhang/cqt_v2/dataset_images_PM_noisy_cqt/lensed/pos_0027.png,1,27,train,positive
/root/autodl-tmp/qkzhang/cqt_v2/dataset_images_PM_noisy_cqt/lensed/pos_0028.png,1,28,train,positive
/root/autodl-tmp/qkzhang/cqt_v2/dataset_images_PM_noisy_cqt/lensed/pos_0029.png,1,29,train,positive
/root/autodl-tmp/qkzhang/cqt_v2/dataset_images_PM_noisy_cqt/lensed/pos_0030.png,1,30,train,positive
/root/autodl-tmp/qkzhang/cqt_v2/dataset_images_PM_noisy_cqt/lensed/pos_0031.png,1,31,train,positive
/root/autodl-tmp/qkzhang/cqt_v2/dataset_images_PM_noisy_cqt/lensed/pos_0032.png,1,32,train,positive
/root/autodl-tmp/qkzhang/cqt_v2/dataset_images_PM_noisy_cqt/lensed/pos_0033.png,1,33,train,positive
/root/autodl-tmp/qkzhang/cqt_v2/dataset_images_PM_noisy_cqt/lensed/pos_0035.png,1,35,train,positive
